Unique Key,Collectors Name,Collecting Event,Start,Night Low (°F),End,Day High (°F),Precipitation (Yes/No),MMWR Week,Latitude,Longitute,County,City,Collection Site,Number of Traps,Collecting Method,Pool ID,Genus,Species,Number of Specimens,LAC Result,SLE Result,WNV Result,EEE Result,Adult Females,Adult Males,Collectors Organization,Test Result Date,ID Date,Location,Data Entrant,Date of Data Entry,,,,,,,,,,
307,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,209,Aedes,Aedes trivittatus,32,Negative,Negative,Negative,Negative,32,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
308,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,209,Aedes,Aedes vexans,18,Negative,Negative,Negative,Negative,18,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
309,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,210,Aedes,Aedes trivittatus,29,Negative,Negative,Negative,Negative,29,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
310,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,210,Aedes,Aedes vexans,19,Negative,Negative,Negative,Negative,19,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
311,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,205,Culex,Culex restuans,2,Negative,Negative,Negative,Negative,2,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
312,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,211,Anopheles,Anopheles punctipennis,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
313,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Gravid Trap,205,Culex,Culex restuans,20,Negative,Negative,Negative,Negative,20,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
314,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Gravid Trap,205,Culex,Culex restuans,1,Negative,Negative,Negative,Negative,1,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
315,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,BG Sentinel Trap WITHOUT dry ice,212,Aedes,Aedes trivittatus,22,Negative,Negative,Negative,Negative,22,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
316,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,BG Sentinel Trap WITHOUT dry ice,212,Aedes,Aedes trivittatus,2,Negative,Negative,Negative,Negative,2,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
317,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Gravid Trap,205,Culex,Culex restuans,5,Negative,Negative,Negative,Negative,5,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
318,Joshua Hardesty,62,6/6/2017,56,6/7/2017,67,no,23,39.3454,-78.0485,Berkeley,Bunker Hill,Residence,2,CDC Light Trap WITH dry ice,213,Aedes,Aedes trivittatus,20,Negative,Negative,Negative,Negative,20,0,Local Health Department (Berkeley),7/6/2017,6/22/2017,"Mill Creek Intermediate School, 8785 Winchester Avenue, Bunker Hill, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
319,Joshua Hardesty,62,6/6/2017,56,6/7/2017,67,no,23,39.3454,-78.0485,Berkeley,Bunker Hill,Residence,2,CDC Light Trap WITH dry ice,213,Aedes,Aedes vexans,6,Negative,Negative,Negative,Negative,6,0,Local Health Department (Berkeley),7/6/2017,6/22/2017,"Mill Creek Intermediate School, 8785 Winchester Avenue, Bunker Hill, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
320,Joshua Hardesty,62,6/6/2017,56,6/7/2017,67,no,23,39.3454,-78.0485,Berkeley,Bunker Hill,Residence,2,CDC Light Trap WITH dry ice,214,Culex,Culex restuans,2,Negative,Negative,Negative,Negative,2,0,Local Health Department (Berkeley),7/6/2017,7/16/2017,"Mill Creek Intermediate School, 8785 Winchester Avenue, Bunker Hill, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
321,Joshua Hardesty,62,6/6/2017,56,6/7/2017,67,no,23,39.3454,-78.0485,Berkeley,Bunker Hill,Residence,2,CDC Light Trap WITH dry ice,215,Anopheles,Anopheles punctipennis,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Mill Creek Intermediate School, 8785 Winchester Avenue, Bunker Hill, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
322,Joshua Hardesty,62,6/6/2017,56,6/7/2017,67,no,23,39.3454,-78.0485,Berkeley,Bunker Hill,Residence,2,CDC Light Trap WITH dry ice,216,Aedes,Aedes japonicus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Mill Creek Intermediate School, 8785 Winchester Avenue, Bunker Hill, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
323,Joshua Hardesty,62,6/6/2017,56,6/7/2017,67,no,23,39.3454,-78.0485,Berkeley,Bunker Hill,Residence,2,CDC Light Trap WITH dry ice,217,Aedes,Aedes albopictus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Mill Creek Intermediate School, 8785 Winchester Avenue, Bunker Hill, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
324,Joshua Hardesty,62,6/6/2017,56,6/7/2017,67,no,23,39.3454,-78.0485,Berkeley,Bunker Hill,Residence,2,CDC Gravid Trap,214,Culex,Culex restuans,13,Negative,Negative,Negative,Negative,13,0,Local Health Department (Berkeley),7/6/2017,6/22/2017,"Mill Creek Intermediate School, 8785 Winchester Avenue, Bunker Hill, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
325,Joshua Hardesty,63,6/6/2017,56,6/7/2017,67,no,23,39.5026,-77.8509,Berkeley,Shepherdstown,Rural site,2,CDC Light Trap WITH dry ice,218,Culex,Culex restuans,17,Negative,Negative,Negative,Negative,17,0,Local Health Department (Berkeley),7/6/2017,6/22/2017,"Yankhauer Nature Preserve, Shepherdstown, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
326,Joshua Hardesty,63,6/6/2017,56,6/7/2017,67,no,23,39.5026,-77.8509,Berkeley,Shepherdstown,Rural site,2,CDC Light Trap WITH dry ice,219,Aedes,Aedes trivittatus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Yankhauer Nature Preserve, Shepherdstown, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
327,Joshua Hardesty,64,6/6/2017,56,6/7/2017,67,no,23,39.5041,-77.8537,Berkeley,Martinsburg,Rural site,2,CDC Gravid Trap,220,Culex,Culex restuans,5,Not Tested,Not Tested,Not Tested,Not Tested,5,0,Local Health Department (Berkeley),,6/22/2017,"Still Meadow Farm, Whitings Neck Road, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
328,Joshua Hardesty,64,6/6/2017,56,6/7/2017,67,no,23,39.5031,-77.8537,Berkeley,Martinsburg,Rural site,2,CDC Gravid Trap,220,Culex,Culex restuans,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,Local Health Department (Berkeley),,6/22/2017,"Still Meadow Farm, Whitings Neck Road, Martinsburg, Berkely Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
329,Joshua Hardesty,65,6/6/2017,56,6/7/2017,67,no,23,39.2645,-77.9759,Jefferson,Summit Point,Rural site,2,CDC Light Trap WITH dry ice,221,Culex,Culex restuans,22,Negative,Negative,Negative,Negative,21,1,Local Health Department (Berkeley),7/6/2017,6/22/2017,"South Jefferson Park, 4095 Leetown Road, Summit Point, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
330,Joshua Hardesty,65,6/6/2017,56,6/7/2017,67,no,23,39.2645,-77.9759,Jefferson,Summit Point,Rural site,2,CDC Light Trap WITH dry ice,222,Aedes,Aedes vexans,18,Negative,Negative,Negative,Negative,18,0,Local Health Department (Berkeley),7/6/2017,6/22/2017,"South Jefferson Park, 4095 Leetown Road, Summit Point, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
331,Joshua Hardesty,65,6/6/2017,56,6/7/2017,67,no,23,39.2645,-77.9759,Jefferson,Summit Point,Rural site,2,CDC Light Trap WITH dry ice,222,Aedes,Aedes trivittatus,6,Negative,Negative,Negative,Negative,6,0,Local Health Department (Berkeley),7/6/2017,6/22/2017,"South Jefferson Park, 4095 Leetown Road, Summit Point, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
332,Joshua Hardesty,65,6/6/2017,56,6/7/2017,67,no,23,39.2645,-77.9759,Jefferson,Summit Point,Rural site,2,CDC Light Trap WITH dry ice,223,Aedes,Aedes albopictus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"South Jefferson Park, 4095 Leetown Road, Summit Point, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
333,Joshua Hardesty,66,6/6/2017,56,6/7/2017,67,no,23,39.2587,-77.807,Jefferson,Charles Town,Rural site,2,CDC Light Trap WITH dry ice,224,Anopheles,Anopheles punctipennis,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Moulton Park, 716 Milville Road, Charles Town, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
334,Joshua Hardesty,66,6/6/2017,56,6/7/2017,67,no,23,39.2587,-77.807,Jefferson,Charles Town,Rural site,2,CDC Gravid Trap,225,Aedes,Aedes japonicus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Moulton Park, 716 Milville Road, Charles Town, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
335,Joshua Hardesty,66,6/6/2017,56,6/7/2017,67,no,23,39.2587,-77.807,Jefferson,Charles Town,Rural site,2,CDC Gravid Trap,226,Culex,Culex restuans,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Moulton Park, 716 Milville Road, Charles Town, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
336,Joshua Hardesty,67,6/6/2017,56,6/7/2017,67,no,23,39.4218,-77.8212,Jefferson,Shepherdstown,Rural site,2,CDC Light Trap WITH dry ice,227,Aedes,Aedes trivittatus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Morgan's Grove Park, Kearneysville Pike, Shepherdstown, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
337,Joshua Hardesty,67,6/6/2017,56,6/7/2017,67,no,23,39.4218,-77.8212,Jefferson,Shepherdstown,Rural site,2,CDC Light Trap WITH dry ice,227,Aedes,Aedes vexans,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Morgan's Grove Park, Kearneysville Pike, Shepherdstown, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
338,Joshua Hardesty,67,6/6/2017,56,6/7/2017,67,no,23,39.4218,-77.8212,Jefferson,Shepherdstown,Rural site,2,CDC Light Trap WITH dry ice,228,Culex,Culex restuans,1,Negative,Negative,Negative,Negative,1,0,Local Health Department (Berkeley),7/6/2017,6/22/2017,"Morgan's Grove Park, Kearneysville Pike, Shepherdstown, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
339,Joshua Hardesty,67,6/6/2017,56,6/7/2017,67,no,23,39.4218,-77.8212,Jefferson,Shepherdstown,Rural site,2,CDC Gravid Trap,228,Culex,Culex restuans,24,Negative,Negative,Negative,Negative,24,0,Local Health Department (Berkeley),7/6/2017,6/22/2017,"Morgan's Grove Park, Kearneysville Pike, Shepherdstown, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
340,Joshua Hardesty,67,6/6/2017,56,6/7/2017,67,no,23,39.4218,-77.8212,Jefferson,Shepherdstown,Rural site,2,CDC Gravid Trap,229,Anopheles,Anopheles punctipennis,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Morgan's Grove Park, Kearneysville Pike, Shepherdstown, Jefferson Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
341,Joshua Hardesty,68,6/8/2017,45,6/9/2017,71,yes,23,39.5004,-78.2952,Morgan,Berkeley Springs,Rural site,2,BG Sentinel Trap WITHOUT dry ice,230,Aedes,Aedes triseriatus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Cacapon State Park, 818 Cacapon Lodge Drive, Berkeley Springs, Morgan Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
342,Joshua Hardesty,69,6/8/2017,45,6/9/2017,71,yes,23,39.5366,-78.4544,Morgan,Paw Paw,Rural site,2,CDC Light Trap WITH dry ice,231,Culex,Culex restuans,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,Local Health Department (Berkeley),,6/22/2017,"Paw Paw Sewage Treatment Plant, 122 Winchester Street, Paw Paw, Morgan Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
343,Joshua Hardesty,69,6/8/2017,45,6/9/2017,71,yes,23,39.5366,-78.4544,Morgan,Paw Paw,Rural site,2,CDC Light Trap WITH dry ice,232,Aedes,Aedes trivittatus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Paw Paw Sewage Treatment Plant, 122 Winchester Street, Paw Paw, Morgan Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
344,Joshua Hardesty,69,6/8/2017,45,6/9/2017,71,yes,23,39.5366,-78.4544,Morgan,Paw Paw,Rural site,2,CDC Light Trap WITH dry ice,233,Anopheles,Anopheles quadrimaculatus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Paw Paw Sewage Treatment Plant, 122 Winchester Street, Paw Paw, Morgan Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
345,Joshua Hardesty,69,6/8/2017,45,6/9/2017,71,yes,23,39.5366,-78.4544,Morgan,Paw Paw,Rural site,2,CDC Gravid Trap,232,Aedes,Aedes japonicus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Paw Paw Sewage Treatment Plant, 122 Winchester Street, Paw Paw, Morgan Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
346,Joshua Hardesty,69,6/8/2017,45,6/9/2017,71,yes,23,39.5366,-78.4544,Morgan,Paw Paw,Rural site,2,CDC Gravid Trap,232,Aedes,Aedes japonicus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,6/22/2017,"Paw Paw Sewage Treatment Plant, 122 Winchester Street, Paw Paw, Morgan Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
347,Joshua Hardesty,69,6/8/2017,45,6/9/2017,71,yes,23,39.5366,-78.4544,Morgan,Paw Paw,Rural site,2,CDC Gravid Trap,231,Culex,Culex restuans,4,Not Tested,Not Tested,Not Tested,Not Tested,4,0,Local Health Department (Berkeley),,6/22/2017,"Paw Paw Sewage Treatment Plant, 122 Winchester Street, Paw Paw, Morgan Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
586,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,401,Aedes,Aedes trivittatus,27,Not Tested,Not Tested,Not Tested,Not Tested,27,0,Local Health Department (Berkeley),,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
587,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,401,Anopheles,Aedes vexans,16,Negative,Negative,Negative,Negative,16,0,Local Health Department (Berkeley),7/19/2017,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
588,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,402,Culex,Culex restuans,9,Negative,Negative,Negative,Negative,8,1,Local Health Department (Berkeley),7/19/2017,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
589,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,401,Aedes,Aedes trivittatus,7,Negative,Negative,Negative,Negative,7,0,Local Health Department (Berkeley),7/19/2017,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
590,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,403,Aedes,Aedes trivittatus,25,Negative,Negative,Negative,Negative,23,0,Local Health Department (Berkeley),7/19/2017,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
591,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,403,Aedes,Aedes vexans,11,Negative,Negative,Negative,Negative,11,0,Local Health Department (Berkeley),7/19/2017,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
592,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,402,Culex,Culex restuans,7,Negative,Negative,Negative,Negative,5,2,Local Health Department (Berkeley),7/19/2017,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
593,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,403,Aedes,Aedes trivittatus,11,Negative,Negative,Negative,Negative,11,0,Local Health Department (Berkeley),7/19/2017,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
594,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,403,Aedes,Aedes vexans,4,Negative,Negative,Negative,Negative,4,0,Local Health Department (Berkeley),7/19/2017,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
595,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,402,Culex,Culex restuans,5,Negative,Negative,Negative,Negative,4,1,Local Health Department (Berkeley),7/19/2017,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
596,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,404,Anopheles,Anopheles punctipennis,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,Local Health Department (Berkeley),,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
597,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Gravid Trap,405,Aedes,Aedes triseriatus,3,Not Tested,Not Tested,Not Tested,Not Tested,3,0,Local Health Department (Berkeley),,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
598,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Gravid Trap,405,Aedes,Aedes japonicus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,Local Health Department (Berkeley),,7/6/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
599,Joshua Hardesty,110,6/13/2017,65,6/14/2017,90,no,24,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Gravid Trap,406,Culex,Culex restuans,45,Negative,Negative,Negative,Negative,45,0,Local Health Department (Berkeley),7/19/2017,7/19/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/19/2017,,,,,,,,,,
