UniqueKey,CollectingEventID,StartCollectingDate,EndCollectingDate,MMWRWeek,Latitude,Longitude,County,NearestPopulatedLocation,CollectionSite,NumberofTraps,CollectingMethod,PoolID,Genus,Species,NumberofSpecimens,LACResult,SLEResult,WNVResult,EEEResult,AdultFemales,AdultMales,NearestStreetAddress
20,4,5/17/2017,5/18/2017,20,38.4187,-82.4512,Cabell,Huntington,Commercial Business,2,CDC Gravid Trap,9,Culex,Culex restuans,50,Negative,Negative,Negative,Negative,50,0,"200 5th Street W, Huntington, Cabell Co., WV"
21,4,5/17/2017,5/18/2017,20,38.4187,-82.4512,Cabell,Huntington,Commercial Business,2,CDC Gravid Trap,10,Culex,Culex restuans,6,Negative,Negative,Negative,Negative,6,0,"200 5th Street W, Huntington, Cabell Co., WV"
22,4,5/17/2017,5/18/2017,20,38.4187,-82.4512,Cabell,Huntington,Commercial Business,3,CDC Light Trap WITH dry ice,11,Aedes,Aedes albopictus,50,Negative,Negative,Negative,Negative,50,0,"200 5th Street W, Huntington, Cabell Co., WV"
23,4,5/17/2017,5/18/2017,20,38.4187,-82.4512,Cabell,Huntington,Commercial Business,3,CDC Light Trap WITH dry ice,10,Culex,Culex restuans,4,Negative,Negative,Negative,Negative,4,0,"200 5th Street W, Huntington, Cabell Co., WV"
24,4,5/17/2017,5/18/2017,20,38.4187,-82.4512,Cabell,Huntington,Commercial Business,2,CDC Gravid Trap,12,Aedes,Aedes albopictus,2,Negative,Negative,Negative,Negative,2,0,"200 5th Street W, Huntington, Cabell Co., WV"
25,4,5/17/2017,5/18/2017,20,38.4187,-82.4512,Cabell,Huntington,Commercial Business,3,CDC Light Trap WITH dry ice,12,Aedes,Aedes albopictus,47,Negative,Negative,Negative,Negative,47,0,"200 5th Street W, Huntington, Cabell Co., WV"
26,4,5/17/2017,5/18/2017,20,38.4187,-82.4512,Cabell,Huntington,Commercial Business,3,CDC Light Trap WITH dry ice,21,Aedes,Aedes vexans,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"200 5th Street W, Huntington, Cabell Co., WV"
27,5,5/30/2017,5/31/2017,22,38.3758,-80.8337,Nicholas,Muddlety,Wetlands,3,CDC Light Trap WITH dry ice,13,Aedes,Aedes canadensis,7,Negative,Negative,Negative,Negative,7,0,"West Virginia Department of Highways Enoch Branch Wetlands, Muddlety, Nicholas Co., WV"
28,5,5/30/2017,5/31/2017,22,38.3758,-80.8337,Nicholas,Muddlety,Wetlands,3,CDC Light Trap WITH dry ice,13,Aedes,Aedes vexans,1,Negative,Negative,Negative,Negative,1,0,"West Virginia Department of Highways Enoch Branch Wetlands, Muddlety, Nicholas Co., WV"
29,5,5/30/2017,5/31/2017,22,38.3758,-80.8337,Nicholas,Muddlety,Wetlands,3,CDC Light Trap WITH dry ice,13,Aedes,Aedes trivittatus,2,Negative,Negative,Negative,Negative,2,0,"West Virginia Department of Highways Enoch Branch Wetlands, Muddlety, Nicholas Co., WV"
30,5,5/30/2017,5/31/2017,22,38.3758,-80.8337,Nicholas,Muddlety,Wetlands,3,CDC Light Trap WITH dry ice,14,Aedes,Aedes albopictus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"West Virginia Department of Highways Enoch Branch Wetlands, Muddlety, Nicholas Co., WV"
31,5,5/30/2017,5/31/2017,22,38.3758,-80.8337,Nicholas,Muddlety,Wetlands,3,CDC Light Trap WITH dry ice,13,Aedes,Aedes cinereus,2,Negative,Negative,Negative,Negative,2,0,"West Virginia Department of Highways Enoch Branch Wetlands, Muddlety, Nicholas Co., WV"
32,5,5/30/2017,5/31/2017,22,38.3758,-80.8337,Nicholas,Muddlety,Wetlands,3,CDC Light Trap WITH dry ice,15,Culex,Culex restuans,3,Negative,Negative,Negative,Negative,3,0,"West Virginia Department of Highways Enoch Branch Wetlands, Muddlety, Nicholas Co., WV"
33,5,5/30/2017,5/31/2017,22,38.3758,-80.8337,Nicholas,Muddlety,Wetlands,3,CDC Light Trap WITH dry ice,15,Culex,Culex erraticus,1,Negative,Negative,Negative,Negative,1,0,"West Virginia Department of Highways Enoch Branch Wetlands, Muddlety, Nicholas Co., WV"
34,5,5/30/2017,5/31/2017,22,38.3758,-80.8337,Nicholas,Muddlety,Wetlands,3,CDC Gravid Trap,15,Culex,Culex restuans,46,Negative,Negative,Negative,Negative,46,0,"West Virginia Department of Highways Enoch Branch Wetlands, Muddlety, Nicholas Co., WV"
35,5,5/30/2017,5/31/2017,22,38.3758,-80.8337,Nicholas,Muddlety,Wetlands,3,CDC Gravid Trap,16,Anopheles,Anopheles punctipennis,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"West Virginia Department of Highways Enoch Branch Wetlands, Muddlety, Nicholas Co., WV"
36,5,5/30/2017,5/31/2017,22,38.3758,-80.8337,Nicholas,Muddlety,Wetlands,3,CDC Gravid Trap,17,Culex,Culex restuans,32,Negative,Negative,Negative,Negative,32,0,"West Virginia Department of Highways Enoch Branch Wetlands, Muddlety, Nicholas Co., WV"
37,6,5/30/2017,5/31/2017,22,37.7433,-81.1939,Raleigh,MacArthur,Residence,3,CDC Gravid Trap,18,Culex,Culex restuans,33,Negative,Negative,Negative,Negative,33,0,"MacArthur Sewage Treatment, 900 Fitzpatrick Road, MacArthur, Raleigh Co., WV"
38,6,5/30/2017,5/31/2017,22,37.7433,-81.1939,Raleigh,MacArthur,Residence,3,CDC Light Trap WITH dry ice,19,Aedes,Aedes vexans,10,Negative,Negative,Negative,Negative,10,0,"MacArthur Sewage Treatment, 900 Fitzpatrick Road, MacArthur, Raleigh Co., WV"
39,6,5/30/2017,5/31/2017,22,37.7433,-81.1939,Raleigh,MacArthur,Residence,3,CDC Light Trap WITH dry ice,19,Aedes,Aedes trivittatus,4,Negative,Negative,Negative,Negative,4,0,"MacArthur Sewage Treatment, 900 Fitzpatrick Road, MacArthur, Raleigh Co., WV"
40,6,5/30/2017,5/31/2017,22,37.7433,-81.1939,Raleigh,MacArthur,Residence,3,CDC Light Trap WITH dry ice,19,Aedes,Aedes cinereus,5,Negative,Negative,Negative,Negative,5,0,"MacArthur Sewage Treatment, 900 Fitzpatrick Road, MacArthur, Raleigh Co., WV"
41,6,5/30/2017,5/31/2017,22,37.7433,-81.1939,Raleigh,MacArthur,Residence,3,CDC Light Trap WITH dry ice,20,Anopheles,Anopheles punctipennis,3,Not Tested,Not Tested,Not Tested,Not Tested,3,0,"MacArthur Sewage Treatment, 900 Fitzpatrick Road, MacArthur, Raleigh Co., WV"
42,6,5/30/2017,5/31/2017,22,37.7433,-81.1939,Raleigh,MacArthur,Residence,3,BG Sentinel Trap WITHOUT dry ice,18,Culex,Culex restuans,17,Negative,Negative,Negative,Negative,17,0,"MacArthur Sewage Treatment, 900 Fitzpatrick Road, MacArthur, Raleigh Co., WV"
43,6,5/30/2017,5/31/2017,22,37.7433,-81.1939,Raleigh,MacArthur,Residence,3,BG Sentinel Trap WITHOUT dry ice,22,Culex,Culex restuans,11,Negative,Negative,Negative,Negative,11,0,"MacArthur Sewage Treatment, 900 Fitzpatrick Road, MacArthur, Raleigh Co., WV"
44,7,5/30/2017,5/31/2017,22,37.9794,-81.1344,Fayette,Oak Hill,Residence,3,CDC Gravid Trap,23,Culex,Culex restuans,7,Not Tested,Not Tested,Not Tested,Not Tested,7,0,"Oak Hill Sewage Treatment, Oak Hill, Fayette Co., WV"
45,7,5/30/2017,5/31/2017,22,37.9794,-81.1344,Fayette,Oak Hill,Residence,3,CDC Light Trap WITH dry ice,24,Aedes,Aedes albopictus,3,Not Tested,Not Tested,Not Tested,Not Tested,2,1,"Oak Hill Sewage Treatment, Oak Hill, Fayette Co., WV"
46,7,5/30/2017,5/31/2017,22,37.9794,-81.1344,Fayette,Oak Hill,Residence,3,CDC Gravid Trap,24,Aedes,Aedes albopictus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Oak Hill Sewage Treatment, Oak Hill, Fayette Co., WV"
47,8,5/30/2017,5/31/2017,22,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,BG Sentinel Trap WITHOUT dry ice,25,Culex,Culex restuans,3,Not Tested,Not Tested,Not Tested,Not Tested,3,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
48,8,5/30/2017,5/31/2017,22,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,BG Sentinel Trap WITHOUT dry ice,26,Aedes,Aedes albopictus,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
49,8,5/30/2017,5/31/2017,22,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Gravid Trap,26,Aedes,Aedes albopictus,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
50,8,5/30/2017,5/31/2017,22,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Gravid Trap,27,Aedes,Aedes triseriatus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
51,8,5/30/2017,5/31/2017,22,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Light Trap WITH dry ice,28,Anopheles,Anopheles punctipennis,7,Not Tested,Not Tested,Not Tested,Not Tested,7,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
52,8,5/30/2017,5/31/2017,22,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Light Trap WITH dry ice,28,Anopheles,Anopheles quadrimaculatus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
53,8,5/30/2017,5/31/2017,22,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Light Trap WITH dry ice,29,Aedes,Aedes japonicus,1,Negative,Negative,Negative,Negative,1,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
54,8,5/30/2017,5/31/2017,22,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Light Trap WITH dry ice,29,Aedes,Aedes trivittatus,1,Negative,Negative,Negative,Negative,1,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
55,8,5/30/2017,5/31/2017,22,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Light Trap WITH dry ice,29,Aedes,Aedes vexans,10,Negative,Negative,Negative,Negative,10,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
56,8,5/30/2017,5/31/2017,22,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Light Trap WITH dry ice,30,Coquillettidia,Coquilletidia perturbans,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
57,8,5/30/2017,5/31/2017,22,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Light Trap WITH dry ice,29,Aedes,Aedes spp.,1,Negative,Negative,Negative,Negative,1,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
58,7,5/30/2017,5/31/2017,22,37.9794,-81.1939,Fayette,Oak Hill,Residence,3,CDC Light Trap WITH dry ice,23,Culex,Culex restuans,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Oak Hill Sewage Treatment, Oak Hill, Fayette Co., WV"
59,9,6/1/2017,6/2/2017,22,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Light Trap WITH dry ice,31,Culex,Culex erraticus,50,Negative,Negative,Negative,Negative,50,0,"Elk Estates, Elkview, Kanawha Co., WV"
60,9,6/1/2017,6/2/2017,22,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Light Trap WITH dry ice,32,Culex,Culex erraticus,18,Negative,Negative,Negative,Negative,18,0,"Elk Estates, Elkview, Kanawha Co., WV"
61,9,6/1/2017,6/2/2017,22,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Light Trap WITH dry ice,32,Culex,Culex restuans,2,Negative,Negative,Negative,Negative,2,0,"Elk Estates, Elkview, Kanawha Co., WV"
62,9,6/1/2017,6/2/2017,22,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Light Trap WITH dry ice,33,Anopheles,Anopheles punctipennis,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Elk Estates, Elkview, Kanawha Co., WV"
63,9,6/1/2017,6/2/2017,22,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Light Trap WITH dry ice,34,Aedes,Aedes japonicus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Elk Estates, Elkview, Kanawha Co., WV"
64,9,6/1/2017,6/2/2017,22,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Light Trap WITH dry ice,34,Aedes,Aedes trivittatus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Elkview, Elk Estates, Kanawha Co., WV"
65,9,6/1/2017,6/2/2017,22,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Gravid Trap,34,Aedes,Aedes japonicus,3,Not Tested,Not Tested,Not Tested,Not Tested,3,0,"Elkview, Elk Estates, Kanawha Co., WV"
66,10,6/1/2017,6/2/2017,22,39.3043,-80.3511,Harrison,Clarksburg,Residence,6,CDC Gravid Trap,35,Culex,Culex restuans,19,Negative,Negative,Negative,Negative,19,0,"Clarksburg Sewage Treatment, Clarksburg, Harrison Co., WV"
67,10,6/1/2017,6/2/2017,22,39.3043,-80.3511,Harrison,Clarksburg,Residence,6,CDC Gravid Trap,36,Aedes,Aedes japonicus,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"Clarksburg Sewage Treatment, Clarksburg, Harrison Co., WV"
68,10,6/1/2017,6/2/2017,22,39.3043,-80.3511,Harrison,Clarksburg,Residence,6,CDC Light Trap WITH dry ice,36,Aedes,Aedes canadensis,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"Clarksburg Sewage Treatment, Clarksburg, Harrison Co., WV"
69,10,6/1/2017,6/2/2017,22,39.3043,-80.3511,Harrison,Clarksburg,Residence,6,CDC Light Trap WITH dry ice,35,Culex,Culex erraticus,2,Negative,Negative,Negative,Negative,2,0,"Clarksburg Sewage Treatment, Clarksburg, Harrison Co., WV"
70,11,6/1/2017,6/2/2017,22,39.373,-81.5859,Kanawha,Charleston,Residence,3,CDC Gravid Trap,37,Culex,Culex erraticus,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"Air National Guard, 1679 Coonskin Drive, Charleston, Kanawha Co., WV"
71,11,6/1/2017,6/2/2017,22,39.373,-81.5859,Kanawha,Charleston,Residence,3,CDC Gravid Trap,38,Anopheles,Anopheles punctipennis,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Air National Guard, 1679 Coonskin Drive, Charleston, Kanawha Co., WV"
72,12,5/22/2017,5/23/2017,21,38.3996,-82.5276,Wayne,Huntington,Residence,2,CDC Gravid Trap,39,Culex,Culex restuans,5,Not Tested,Not Tested,Not Tested,Not Tested,5,0,"5010 Sunset Drive, Huntington, Wayne Co., WV"
73,12,5/22/2017,5/23/2017,21,38.3996,-82.5276,Wayne,Huntington,Residence,2,CDC Light Trap WITH dry ice,40,Anopheles,Anopheles punctipennis,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"5010 Sunset Drive, Huntington, Wayne Co., WV"
74,12,5/22/2017,5/23/2017,21,38.3996,-82.5276,Wayne,Huntington,Residence,2,CDC Light Trap WITH dry ice,41,Aedes,Aedes albopictus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"5010 Sunset Drive, Huntington, Wayne Co., WV"
75,12,5/22/2017,5/23/2017,21,38.3996,-82.5276,Wayne,Huntington,Residence,2,CDC Light Trap WITH dry ice,42,Aedes,Aedes trivittatus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"5010 Sunset Drive, Huntington, Wayne Co., WV"
76,13,5/22/2017,5/23/2017,21,38.3996,-82.5276,Cabell,Huntington,Urban site,2,CDC Gravid Trap,43,Culex,Culex restuans,18,Negative,Negative,Negative,Negative,18,0,"200 5th Street West, Huntington, Cabell Co., WV"
77,13,5/22/2017,5/23/2017,21,38.3996,-82.5276,Cabell,Huntington,Urban site,2,CDC Gravid Trap,44,Aedes,Aedes albopictus,6,Not Tested,Not Tested,Not Tested,Not Tested,6,0,"200 5th Street West, Huntington, Cabell Co., WV"
78,13,5/22/2017,5/23/2017,21,38.3996,-82.5276,Cabell,Huntington,Urban site,2,CDC Light Trap WITH dry ice,43,Culex,Culex restuans,2,Negative,Negative,Negative,Negative,2,0,"200 5th Street West, Huntington, Cabell Co., WV"
79,14,5/22/2017,5/23/2017,21,38.4003,-82.485,Cabell,Huntington,Suburban site,2,CDC Gravid Trap,45,Culex,Culex restuans,10,Negative,Negative,Negative,Negative,10,0,"1702 17th Street West, Huntington, Cabell Co., WV"
80,14,5/22/2017,5/23/2017,21,38.4003,-82.485,Cabell,Huntington,Suburban site,2,CDC Gravid Trap,46,Aedes,Aedes trivittatus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"1702 17th Street West, Huntington, Cabell Co., WV"
81,15,5/23/2017,5/24/2017,21,38.4044,-82.4997,Wayne,Huntington,Urban site,2,CDC Light Trap WITH dry ice,47,Anopheles,Anopheles punctipennis,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"425 Camden Road, Huntington, Wayne Co., WV"
82,15,5/23/2017,5/24/2017,21,38.4044,-82.4997,Wayne,Huntington,Urban site,2,CDC Light Trap WITH dry ice,48,Aedes,Aedes trivittatus,3,Not Tested,Not Tested,Not Tested,Not Tested,3,0,"425 Camden Road, Huntington, Wayne Co., WV"
83,15,5/23/2017,5/24/2017,21,38.4044,-82.4997,Wayne,Huntington,Urban site,2,CDC Gravid Trap,49,Culex,Culex restuans,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"425 Camden Road, Huntington, Wayne Co., WV"
84,16,5/23/2017,5/24/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Light Trap WITH dry ice,50,Aedes,Aedes albopictus,50,Negative,Negative,Negative,Negative,50,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
85,16,5/23/2017,5/24/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Light Trap WITH dry ice,51,Aedes,Aedes albopictus,16,Negative,Negative,Negative,Negative,16,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
86,16,5/23/2017,5/24/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Light Trap WITH dry ice,52,Culex,Culex restuans,20,Negative,Negative,Negative,Negative,20,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
87,16,5/23/2017,5/24/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Light Trap WITH dry ice,53,Anopheles,Anopheles punctipennis,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
88,16,5/23/2017,5/24/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Gravid Trap,55,Culex,Culex restuans,18,Negative,Negative,Negative,Negative,18,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
89,16,5/23/2017,5/24/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Gravid Trap,51,Aedes,Aedes albopictus,2,Negative,Negative,Negative,Negative,2,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
90,17,5/23/2017,5/24/2017,21,38.4186,-82.4617,Cabell,Huntington,Urban site,2,CDC Light Trap WITH dry ice,56,Aedes,Aedes vexans,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"4th Street West, Huntington, Cabell Co., WV"
91,17,5/23/2017,5/24/2017,21,38.4186,-82.4617,Cabell,Huntington,Urban site,2,CDC Gravid Trap,57,Culex,Culex restuans,18,Negative,Negative,Negative,Negative,18,0,"4th Street West, Huntington, Cabell Co., WV"
92,18,5/24/2017,5/25/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Light Trap WITH dry ice,58,Culex,Culex restuans,14,Negative,Negative,Negative,Negative,14,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
93,18,5/24/2017,5/25/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Light Trap WITH dry ice,59,Aedes,Aedes albopictus,14,Negative,Negative,Negative,Negative,14,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
94,18,5/24/2017,5/25/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Light Trap WITH dry ice,60,Anopheles,Anopheles punctipennis,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
95,18,5/24/2017,5/25/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Light Trap WITH dry ice,61,Aedes,Aedes vexans,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
96,18,5/24/2017,5/25/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Gravid Trap,62,Culex,Culex restuans,28,Negative,Negative,Positive,Negative,28,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
97,18,5/24/2017,5/25/2017,21,38.4153,-82.4286,Cabell,Huntington,Urban site,2,CDC Gravid Trap,59,Aedes,Aedes albopictus,1,Negative,Negative,Negative,Negative,1,0,"9 1/2 Alley, Huntington, Cabell Co., WV"
98,19,5/24/2017,5/25/2017,21,38.4025,-82.4933,Wayne,Huntington,Urban site,2,CDC Light Trap WITH dry ice,63,Aedes,Aedes vexans,3,Negative,Negative,Negative,Negative,3,0,"2699 Park Avenue, Huntington, Wayne Co., WV"
99,19,5/24/2017,5/25/2017,21,38.4025,-82.4933,Wayne,Huntington,Urban site,2,CDC Light Trap WITH dry ice,63,Aedes,Aedes trivittatus,21,Negative,Negative,Negative,Negative,21,0,"2699 Park Avenue, Huntington, Cabell Co., WV"
100,19,5/24/2017,5/25/2017,21,38.4025,-82.4933,Wayne,Huntington,Urban site,2,CDC Light Trap WITH dry ice,64,Aedes,Aedes albopictus,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"2699 Park Avenue, Huntington, Wayne Co., WV"
101,19,5/24/2017,5/25/2017,21,38.4025,-82.4933,Wayne,Huntington,Urban site,2,CDC Gravid Trap,65,Culex,Culex restuans,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"2699 Park Avenue, Huntington, Wayne Co., WV"
102,19,5/24/2017,5/25/2017,21,38.4025,-82.4933,Wayne,Huntington,Urban site,2,CDC Gravid Trap,63,Aedes,Aedes trivittatus,1,Negative,Negative,Negative,Negative,1,0,"2699 Park Avenue, Huntington, Wayne Co., WV"
103,19,5/24/2017,5/25/2017,21,38.4025,-82.4933,Wayne,Huntington,Urban site,2,CDC Gravid Trap,64,Aedes,Aedes albopictus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"2699 Park Avenue, Huntington, Wayne Co., WV"
104,20,6/5/2017,6/6/2017,23,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Light Trap WITH dry ice,66,Aedes,Aedes canadensis,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
105,20,6/5/2017,6/6/2017,23,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Light Trap WITH dry ice,66,Aedes,Aedes vexans,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
106,20,6/5/2017,6/6/2017,23,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Light Trap WITH dry ice,67,Anopheles,Anopheles punctipennis,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
107,20,6/5/2017,6/6/2017,23,39.2828,-81.5578,Wood,Parkersburg,Urban site,3,CDC Light Trap WITH dry ice,68,Culex,Culex restuans,3,Not Tested,Not Tested,Not Tested,Not Tested,3,0,"Parkersburg Water Treatment, Parkersburg, Wood Co., WV"
